Borough,School_Name,Phase,Type_Group,Capacity,Pupils,FSM_Percent,Gender,Religious_Character
Greenwich,Wyborne Primary School,Primary,Local authority maintained schools,403,431,18.8,Mixed,Does not apply
Greenwich,Montbelle Primary School,Primary,Local authority maintained schools,470,400,22.3,Mixed,Does not apply
Greenwich,De Lucy Primary School,Primary,Local authority maintained schools,446,288,54.2,Mixed,Does not apply
Greenwich,Cardwell Primary School,Primary,Local authority maintained schools,480,437,41.7,Mixed,Does not apply
Greenwich,Heronsgate Primary School,Primary,Local authority maintained schools,918,748,28.3,Mixed,Does not apply
Greenwich,Linton Mead Primary School,Primary,Local authority maintained schools,386,315,44.2,Mixed,Does not apply
Greenwich,Greenslade Primary School,Primary,Local authority maintained schools,210,201,16.4,Mixed,Does not apply
Greenwich,Mulgrave Primary School,Primary,Local authority maintained schools,498,351,28.5,Mixed,Does not apply
Greenwich,Charlton Manor Primary School,Primary,Local authority maintained schools,484,428,21.4,Mixed,Does not apply
Greenwich,Christ Church Church of England Primary School,Primary,Local authority maintained schools,210,154,50.6,Mixed,Church of England
Greenwich,"Christ Church Church of England Primary School, Shooters Hill",Primary,Local authority maintained schools,210,208,13.0,Mixed,Church of England
Greenwich,Eltham Church of England Primary School,Primary,Local authority maintained schools,446,446,13.0,Mixed,Church of England
Greenwich,Our Lady of Grace Catholic Primary School,Primary,Local authority maintained schools,420,417,21.3,Mixed,Roman Catholic
Greenwich,St Joseph's Catholic Primary School,Primary,Local authority maintained schools,210,136,49.3,Mixed,Roman Catholic
Greenwich,St Margaret's Church of England Primary School,Primary,Local authority maintained schools,420,215,36.0,Mixed,Church of England
Greenwich,Saint Mary Magdalene Church of England All Through School,All-through,Local authority maintained schools,1860,1667,44.4,Mixed,Church of England
Greenwich,St Patrick's Catholic Primary School,Primary,Local authority maintained schools,367,336,26.5,Mixed,Roman Catholic
Greenwich,St Alfege with St Peter's Church of England Primary School,Primary,Local authority maintained schools,262,203,42.6,Mixed,Church of England
Greenwich,St Peter's Catholic Primary School,Primary,Local authority maintained schools,210,205,19.0,Mixed,Roman Catholic
Greenwich,St Thomas More Catholic Primary School,Primary,Local authority maintained schools,210,198,31.8,Mixed,Roman Catholic
Greenwich,St Thomas A Becket Roman Catholic Primary School,Primary,Local authority maintained schools,420,402,30.9,Mixed,Roman Catholic
Greenwich,St Margaret Clitherow Catholic Primary School,Primary,Local authority maintained schools,262,183,24.3,Mixed,Roman Catholic
Greenwich,Bishop John Robinson Church of England Primary School,Primary,Local authority maintained schools,236,227,20.7,Mixed,Church of England
Greenwich,Eltham Hill School,Secondary,Local authority maintained schools,1050,1304,22.3,Girls,Does not apply
Greenwich,Plumstead Manor School,Secondary,Local authority maintained schools,1500,1454,38.1,Mixed,Does not apply
Greenwich,Thomas Tallis School,Secondary,Local authority maintained schools,1950,2066,27.5,Mixed,Does not apply
Greenwich,St Ursula's Convent School,Secondary,Local authority maintained schools,675,549,24.9,Girls,Roman Catholic
Greenwich,The Pointer School,Not applicable,Independent schools,364,347,0,Mixed,None
Greenwich,Blackheath Prep,Not applicable,Independent schools,420,388,0,Mixed,None
Greenwich,Riverston School,Not applicable,Independent schools,326,205,0,Mixed,None
Greenwich,St Olave's Prep School,Not applicable,Independent schools,220,215,0,Mixed,None
Greenwich,Colfe's School,Not applicable,Independent schools,1400,1308,0,Mixed,None
Lewisham,Heath House Preparatory School,Not applicable,Independent schools,200,120,0,Mixed,None
Greenwich,King's Oak School,Not applicable,Special schools,40,37,48.6,Boys,Does not apply
Hackney,Wentworth Nursery School and Children's Centre,Nursery,Local authority maintained schools,0,77,21.4,Mixed,Does not apply
Hackney,Comet Nursery School and Children's Centre,Nursery,Local authority maintained schools,0,115,21.2,Mixed,Does not apply
Hackney,Berger Primary School,Primary,Local authority maintained schools,480,425,53.4,Mixed,Does not apply
Hackney,Daubeney Primary School,Primary,Local authority maintained schools,519,367,47.9,Mixed,Does not apply
Hackney,Gainsborough Primary School,Primary,Local authority maintained schools,320,310,47.9,Mixed,Does not apply
Hackney,Lauriston School,Primary,Local authority maintained schools,420,425,24.0,Mixed,Does not apply
Hackney,London Fields Primary School,Primary,Local authority maintained schools,457,424,29.0,Mixed,Does not apply
Hackney,Millfields Community School,Primary,Local authority maintained schools,680,635,24.1,Mixed,Does not apply
Hackney,Morningside Primary School,Primary,Local authority maintained schools,504,437,57.6,Mixed,Does not apply
Hackney,Orchard Primary School,Primary,Local authority maintained schools,630,531,56.6,Mixed,Does not apply
Hackney,Queensbridge Primary School,Primary,Local authority maintained schools,420,424,38.0,Mixed,Does not apply
Hackney,Princess May Primary School,Primary,Local authority maintained schools,420,210,46.3,Mixed,Does not apply
Hackney,Sebright School,Primary,Local authority maintained schools,460,441,46.0,Mixed,Does not apply
Hackney,Shacklewell Primary School,Primary,Local authority maintained schools,482,472,33.0,Mixed,Does not apply
Hackney,Southwold Primary School,Primary,Local authority maintained schools,430,360,48.3,Mixed,Does not apply
Hackney,Thomas Fairchild Community School,Primary,Local authority maintained schools,240,220,73.0,Mixed,Does not apply
Hackney,Shoreditch Park Primary School,Primary,Local authority maintained schools,445,438,59.0,Mixed,Does not apply
Hackney,Woodberry Down Community Primary School,Primary,Local authority maintained schools,726,691,56.4,Mixed,Does not apply
Hackney,Kingsmead Primary School,Primary,Local authority maintained schools,210,226,53.2,Mixed,Does not apply
Hackney,Grasmere Primary School,Primary,Local authority maintained schools,236,211,16.4,Mixed,Does not apply
Hackney,Jubilee Primary School,Primary,Local authority maintained schools,420,445,31.3,Mixed,Does not apply
Hackney,Nightingale Primary School,Primary,Local authority maintained schools,450,366,54.6,Mixed,Does not apply
